Title,Poem,Poet,Genre
Search,"Wandered tonight through a cityas ruined as a body with brokenribs and a bared heart. Looked for you there with cookies in my pocket, searched for a sigh, for movement in demolished streets and alleys. Tonightsince I’d forgotten for a moment where you are,I searched for you with hope in my bones.But no matter how I lured you with my voiceand my eyes, walls of debris grew up steadily around you, cellars seemedto creep around you. I remained alonewith those cookies in my pocketand kept calling and walking.",Hester Knibbe,Fear
A Poem for the Cruel Majority,"The cruel majority emerges!Hail to the cruel majority!They will punish the poor for being poor.They will punish the dead for having died.Nothing can make the dark turn into lightfor the cruel majority.Nothing can make them feel hunger or terror.If the cruel majority would only cup their earsthe sea would wash over them.The sea would help them forget their wayward children.It would weave a lullaby for young & old.(See the cruel majority with hands cupped to their ears,one foot is in the water, one foot is on the clouds.)One man of them is large enough to hold a cloudbetween his thumb & middle finger,to squeeze a drop of sweat from it before he sleeps.He is a little god but not a poet.(See how his body heaves.)The cruel majority love crowds & picnics.The cruel majority fill up their parks with little flags.The cruel majority celebrate their birthday.Hail to the cruel majority again!The cruel majority weep for their unborn children,they weep for the children that they will never bear.The cruel majority are overwhelmed by sorrow.(Then why are the cruel majority always laughing?Is it because night has covered up the city's walls?Because the poor lie hidden in the darkness?The maimed no longer come to show their wounds?)Today the cruel majority vote to enlarge the darkness.They vote for shadows to take the place of pondsWhatever they vote for they can bring to pass.The mountains skip like lambs for the cruel majority.Hail to the cruel majority!Hail! hail! to the cruel majority!The mountains skip like lambs, the hills like rams.The cruel majority tear up the earth for the cruel majority.Then the cruel majority line up to be buried.Those who love death will love the cruel majority.Those who know themselves will know the fearthe cruel majority feel when they look in the mirror.The cruel majority order the poor to stay poor.They order the sun to shine only on weekdays.The god of the cruel majority is hanging from a tree.Their god's voice is the tree screaming as it bends.The tree's voice is as quick as lightning as it streaks across the sky.(If the cruel majority go to sleep inside their shadows,they will wake to find their beds filled up with glass.)Hail to the god of the cruel majority!Hail to the eyes in the head of their screaming god!Hail to his face in the mirror!Hail to their faces as they float around him!Hail to their blood & to his!Hail to the blood of the poor they need to feed them!Hail to their world & their god!Hail & farewell!Hail & farewell!Hail & farewell!",Jerome Rothenberg,Anger
“Do Not Embrace Your Mind’s New Negro Friend”,"Do not embrace your mind’s new negro friendOr embarrass the blackballed jew with memberships:There must be years of atonement first, and even thenYou may still be the blundering raconteurWith the wrong story, and they may still be free.If you are with them, if even mind is friend,There will be plenty to do: give the liars lessonsWho have heard no rumors of truth for a long timeBut have whatever they hear on good authority,Whether it concerns Chinese women or the arts.Expose the patrons, some of whose best friendsAre brothers, and who are never now anonymous:What kind of credit do they expect for that,Ask them, or better, ask their protested brothers,The grateful tenants who can’t get their curtsies right.Finally the injured, who think they have no friend,Who have been convinced by the repeated namesThat they are jews or negroes or some dark thing:They must be courted with the lover’s touchAnd as guiltily as if yourself had turned them inward.If you complete this program, you will have friendsFrom all the rich races of your human blood:Meantime, engage in the often friendless struggle.A long war, a pygmy war in ways,But island by island we must go across.",William Meredith,Anger
The Greatest Love,"She is sixty. She livesthe greatest love of her life.She walks arm-in-arm with her dear one,   her hair streams in the wind.Her dear one says:“You have hair like pearls.”Her children say:   “Old fool.”",Anna Swir,Love
Bilingual/Bilingüe,"My father liked them separate, one there,one here (allá y aquí), as if awarethat words might cut in two his daughter’s heart(el corazón) and lock the alien partto what he was—his memory, his name(su nombre)—with a key he could not claim.“English outside this door, Spanish inside,”he said, “y basta.” But who can dividethe world, the word (mundo y palabra) fromany child? I knew how to be dumband stubborn (testaruda); late, in bed,I hoarded secret syllables I readuntil my tongue (mi lengua) learned to runwhere his stumbled. And still the heart was one.I like to think he knew that, even when,proud (orgulloso) of his daughter’s pen,he stood outside mis versos, half in fearof words he loved but wanted not to hear.",Rhina P. Espaillat,Anger
The War Films,"O living pictures of the dead, O songs without a sound, O fellowship whose phantom tread Hallows a phantom ground— How in a gleam have these revealed The faith we had not found.   We have sought God in a cloudy Heaven, We have passed by God on earth: His seven sins and his sorrows seven, His wayworn mood and mirth, Like a ragged cloak have hid from us The secret of his birth.   Brother of men, when now I see The lads go forth in line, Thou knowest my heart is hungry in me As for thy bread and wine; Thou knowest my heart is bowed in me To take their death for mine.",Henry Newbolt,Fear
Of the Education of Children,"I was planted, a cropnot a boy but with headlong technique, everything in me tellingto be coursed through with water and emptiness                                                          ★The blank was worth tendinga matter of tight, small discretionsseparating from youth like a beeIt's just silenceI've been talking aboutInto hills I tried things I was made ofWhat was not in my memory, not mathyet patched all togetherI required this armor""wrestling with old champions body against body""                                                                                                                  ★Scribbling down the solution""by little light attacks""A life is at odds and we solve ita shadow itself""Understanding makes profit of everything—arranges, acts, and            reigns,""gives knowledge out in a swanVirtue wasn't a mountain, not a fieldor was it me brooding                                                         ★""Too ill to instruct others,""this awareness of slow moving and ditchof the past of the subjectA few lumps on the ground like a book""Mixing with men is wonderfully useful""but hard practice                                                                                                             ★""For our boy, a closet, a garden, the table and bed, solitude,company, morning and evening, all hours will be the same, allplaces will be his study""                                                         ★He's in philosophy, and mingledlet him forgive itI have been happy in roomsGambling with pocket, with babble""he will not say his lesson as do it""and the unit is character,""repeated in actions""                                                        ★Rising to beg and confoundingI hear it now, in our ears",Hannah Brooks-Motl,Sadness
"from America, America","God save America,               My home, sweet home!",Saadi Youssef,Joy
Poisonous Plants of America,April foolBear's-footBog-onionDevil's-appleDog parsleyDoll's-eyesFairy hellsFlying saucersFour o'clockGagweedGoosefootHare's-earIndian beansInkweedJacob's-coatLady's-thumbLion's-beardLocoweedMonkey-fiddleMoonseedMother-in-lawPuncture-vineNaked ladyQuaker-bonnetsRabbit-bushSmartweedSneezeweedSnakegrassStinking WillieSundialsSwallow-wortWahooWart-cressWitches' thimblesWolfsbaneWonder berry,Elizabeth Willis,Fear
Morte d'Arthur,"So all day long the noise of battle roll'd Among the mountains by the winter sea; Until King Arthur's table, man by man, Had fallen in Lyonnesse about their Lord, King Arthur: then, because his wound was deep, The bold Sir Bedivere uplifted him, Sir Bedivere, the last of all his knights, And bore him to a chapel nigh the field, A broken chancel with a broken cross, That stood on a dark strait of barren land. On one side lay the ocean, and on one Lay a great water, and the moon was full.          Then spake King Arthur to Sir Bedivere: ""The sequel of to-day unsolders all The goodliest fellowship of famous knights Whereof this world holds record. Such a sleep They sleep—the men I loved. I think that we Shall never more, at any future time, Delight our souls with talk of knightly deeds, Walking about the gardens and the halls Of Camelot, as in the days that were. I perish by this people which I made,— Tho' Merlin sware that I should come again To rule once more—but let what will be, be, I am so deeply smitten thro' the helm That without help I cannot last till morn. Thou therefore take my brand Excalibur, Which was my pride: for thou rememberest how In those old days, one summer noon, an arm Rose up from out the bosom of the lake, Clothed in white samite, mystic, wonderful, Holding the sword—and how I row'd across And took it, and have worn it, like a king: And, wheresoever I am sung or told In aftertime, this also shall be known: But now delay not: take Excalibur, And fling him far into the middle mere: Watch what thou seëst, and lightly bring me word.""          To him replied the bold Sir Bedivere: ""It is not meet, Sir King, to leave thee thus, Aidless, alone, and smitten thro' the helm. A little thing may harm a wounded man. Yet I thy hest will all perform at full, Watch what I see, and lightly bring thee word.""          So saying, from the ruin'd shrine he stept And in the moon athwart the place of tombs, Where lay the mighty bones of ancient men, Old knights, and over them the sea-wind sang Shrill, chill, with flakes of foam. He, stepping down By zigzag paths, and juts of pointed rock, Came on the shining levels of the lake.          There drew he forth the brand Excalibur, And o'er him, drawing it, the winter moon, Brightening the skirts of a long cloud, ran forth And sparkled keen with frost against the hilt: For all the haft twinkled with diamond sparks, Myriads of topaz-lights, and jacinth work Of subtlest jewellery. He gazed so long That both his eyes were dazzled, as he stood, This way and that dividing the swift mind, In act to throw: but at the last it seem'd Better to leave Excalibur conceal'd There in the many-knotted water-flags, That whistled stiff and dry about the marge. So strode he back slow to the wounded King.          Then spake King Arthur to Sir Bedivere: ""Hast thou perform'd my mission which I gave? What is it thou hast seen, or what hast heard?""          And answer made the bold Sir Bedivere: ""I heard the ripple washing in the reeds, And the wild water lapping on the crag.""          To whom replied King Arthur, faint and pale: ""Thou hast betray'd thy nature and thy name, Not rendering true answer, as beseem'd Thy fealty, nor like a noble knight: For surer sign had follow'd, either hand, Or voice, or else a motion of the mere. This is a shameful thing for men to lie. Yet now, I charge thee, quickly go again As thou art lief and dear, and do the thing I bade thee, watch, and lightly bring me word.""          Then went Sir Bedivere the second time Across the ridge, and paced beside the mere, Counting the dewy pebbles, fixed in thought; But when he saw the wonder of the hilt, How curiously and strangely chased, he smote His palms together, and he cried aloud,          ""And if indeed I cast the brand away, Surely a precious thing, one worthy note, Should thus be lost forever from the earth, Which might have pleased the eyes of many men. What good should follow this, if this were done? What harm, undone? deep harm to disobey, Seeing obedience is the bond of rule. Were it well to obey then, if a king demand An act unprofitable, against himself? The King is sick, and knows not what he does. What record, or what relic of my lord Should be to aftertime, but empty breath And rumours of a doubt? but were this kept, Stored in some treasure-house of mighty kings, Some one might show it at a joust of arms, Saying, 'King Arthur's sword, Excalibur, Wrought by the lonely maiden of the Lake; Nine years she wrought it, sitting in the deeps Upon the hidden bases of the hills.' So might some old man speak in the aftertime To all the people, winning reverence. But now much honour and much fame were lost.""          So spake he, clouded with his own conceit, And hid Excalibur the second time, And so strode back slow to the wounded King.          Then spoke King Arthur, breathing heavily: ""What is it thou hast seen, or what hast heard?""          And answer made the bold Sir Bedivere: ""I heard the water lapping on the crag, And the long ripple washing in the reeds.""          To whom replied King Arthur, much in wrath: ""Ah, miserable and unkind, untrue, Unknightly, traitor-hearted! Woe is me! Authority forgets a dying king, Laid widow'd of the power in his eye That bow'd the will. I see thee what thou art, For thou, the latest-left of all my knights, In whom should meet the offices of all, Thou wouldst betray me for the precious hilt; Either from lust of gold, or like a girl Valuing the giddy pleasure of the eyes. Yet, for a man may fail in duty twice, And the third time may prosper, get thee hence: But, if thou spare to fling Excalibur, I will arise and slay thee with my hands.""          Then quickly rose Sir Bedivere, and ran, And, leaping down the ridges lightly, plunged Among the bulrush-beds, and clutch'd the sword, And strongly wheel'd and threw it. The great brand Made lightnings in the splendour of the moon, And flashing round and round, and whirl'd in an arch, Shot like a streamer of the northern morn, Seen where the moving isles of winter shock By night, with noises of the northern sea. So flash'd and fell the brand Excalibur: But ere he dipt the surface, rose an arm Clothed in white samite, mystic, wonderful, And caught him by the hilt, and brandish'd him Three times, and drew him under in the mere. And lightly went the other to the King.          Then spoke King Arthur, drawing thicker breath: ""Now see I by thine eyes that this is done. Speak out: what is it thou hast heard, or seen?""          And answer made the bold Sir Bedivere: ""Sir King, I closed mine eyelids, lest the gems Should blind my purpose, for I never saw, Nor shall see, here or elsewhere, till I die, Not tho' I live three lives of mortal men, So great a miracle as yonder hilt. Then with both hands I flung him, wheeling him; But when I look'd again, behold an arm, Clothed in white samite, mystic, wonderful, That caught him by the hilt, and brandish'd him Three times, and drew him under in the mere.""          And answer made King Arthur, breathing hard: ""My end draws nigh; 't is time that I were gone. Make broad thy shoulders to receive my weight, And bear me to the margin; yet I fear My wound hath taken cold, and I shall die.""          So saying, from the pavement he half rose, Slowly, with pain, reclining on his arm, And looking wistfully with wide blue eyes As in a picture. Him Sir Bedivere Remorsefully regarded thro' his tears, And would have spoken, but he found not words, Then took with care, and kneeling on one knee, O'er both his shoulders drew the languid hands, And rising bore him thro' the place of tombs.          But, as he walk'd, King Arthur panted hard, Like one that feels a nightmare on his bed When all the house is mute. So sigh'd the King Muttering and murmuring at his ear, ""Quick, quick! I fear it is too late, and I shall die."" But the other swiftly strode from ridge to ridge, Clothed with his breath, and looking, as he walk'd Larger than human on the frozen hills. He heard the deep behind him, and a cry Before. His own thought drove him like a goad. Dry clash'd his harness in the icy caves And barren chasms, and all to left and right The bare black cliff clang'd round him, as he based His feet on juts of slippery crag that rang Sharp-smitten with the dint of armed heels— And on a sudden, lo! the level lake, And the long glories of the winter moon.          Then saw they how there hove a dusky barge Dark as a funeral scarf from stem to stern, Beneath them; and descending they were ware That all the decks were dense with stately forms Black-stoled, black-hooded, like a dream—by these Three Queens with crowns of gold—and from them rose A cry that shiver'd to the tingling stars, And, as it were one voice, an agony Of lamentation, like a wind, that shrills All night in a waste land, where no one comes, Or hath come, since the making of the world.          Then murmur'd Arthur, ""Place me in the barge,"" And to the barge they came. There those three Queens Put forth their hands, and took the King, and wept. But she that rose the tallest of them all And fairest, laid his head upon her lap, And loosed the shatter'd casque, and chafed his hands, And call'd him by his name, complaining loud And dropping bitter tears against his brow Striped with dark blood: for all his face was white And colourless, and like the wither'd moon Smote by the fresh beam of the springing east; And all his greaves and cuisses dash'd with drops Of onset; and the light and lustrous curls— That made his forehead like a rising sun High from the daïs-throne—were parch'd with dust; Or, clotted into points and hanging loose, Mix'd with the knightly growth that fringed his lips. So like a shatter'd column lay the King; Not like that Arthur who, with lance in rest, From spur to plume a star of tournament, Shot thro' the lists at Camelot, and charged Before the eyes of ladies and of kings.          Then loudly cried the bold Sir Bedivere: ""Ah! my Lord Arthur, whither shall I go? Where shall I hide my forehead and my eyes? For now I see the true old times are dead, When every morning brought a noble chance, And every chance brought out a noble knight. Such times have been not since the light that led The holy Elders with the gift of myrrh. But now the whole ROUND TABLE is dissolved Which was an image of the mighty world; And I, the last, go forth companionless, And the days darken round me, and the years, Among new men, strange faces, other minds.""          And slowly answer'd Arthur from the barge: ""The old order changeth, yielding place to new, And God fulfils Himself in many ways, Lest one good custom should corrupt the world. Comfort thyself: what comfort is in me? I have lived my life, and that which I have done May He within Himself make pure! but thou, If thou shouldst never see my face again, Pray for my soul. More things are wrought by prayer Than this world dreams of. Wherefore, let thy voice Rise like a fountain for me night and day. For what are men better than sheep or goats That nourish a blind life within the brain, If, knowing God, they lift not hands of prayer Both for themselves and those who call them friend? For so the whole round earth is every way Bound by gold chains about the feet of God. But now farewell. I am going a long way With these thou seëst—if indeed I go— (For all my mind is clouded with a doubt) To the island-valley of Avilion; Where falls not hail, or rain, or any snow, Nor ever wind blows loudly; but it lies Deep-meadow'd, happy, fair with orchard-lawns And bowery hollows crown'd with summer sea, Where I will heal me of my grievous wound.""          So said he, and the barge with oar and sail Moved from the brink, like some full-breasted swan That, fluting a wild carol ere her death, Ruffles her pure cold plume, and takes the flood With swarthy webs. Long stood Sir Bedivere Revolving many memories, till the hull Look'd one black dot against the verge of dawn, And on the mere the wailing died away.","Alfred, Lord Tennyson",Fear
